sptype    teff      logg
O3V       44852     +3.92
O4V       42857     +3.92
O5V       40862     +3.92
O5.5V     39865     +3.92
O6V       38867     +3.92
O6.5V     37870     +3.92
O7V       36872     +3.92
O7.5V     35874     +3.92
O8V       34877     +3.92
O8.5      33879     +3.92
O9V       32882     +3.92
O9.5      31884     +3.92
B0V       30000     +3.90
B1V       25400     +3.90
B3V       18700     +3.94
B5V       15400     +4.04
B8V       11900     +4.04
A0V        9520     +4.14
A1V        9230     +4.10
A3V        8270     +4.20
A5V        8200     +4.29
F0V        7200     +4.34
F2V        6890     +4.34
F5V        6440     +4.34
F8V        6200     +4.40
G0V        6030     +4.39
G2V        5860     +4.40
G5V        5770     +4.49
G8V        5570     +4.50
K0V        5250     +4.49
K2V        4780     +4.50
K4V        4560     +4.50
K5V        4350     +4.54
K7V        4060     +4.50
M0V        3850     +4.59
M2V        3580     +4.64
M4V        3370     +4.80
M5V        3240     +4.94
M6V        3050     +5.00
B0III     29000     +3.34
B5III     15000     +3.49
G0III      5850     +2.94
G5III      5150     +2.54
K0III      4750     +2.14
K5III      3950     +1.74
M0III      3800     +1.34
O5I       40300     +3.34
O6I       39000     +3.24
O8I       34200     +3.24
BOI       26000     +2.84
B5I       13600     +2.44
AOI        9730     +2.14
A5I        8510     +2.04
F0I        7700     +1.74
F5I        6900     +1.44
G0I        5550     +1.34
G5I        4850     +1.14
K0I        4420     +0.94
K5I        3850     +0.34
M0I        3650     +0.14
M2I        3450     -0.06
