passband                                                   obsmode   zpt
WFIRST/R606_Aeff_norm_new3.dat                             R606      26.9927
WFIRST/Z087_Aeff_norm_new.dat                              Z087      26.3949
WFIRST/Y106_Aeff_norm_new.dat                              Y106      26.4078
WFIRST/J129_Aeff_norm_new.dat                              J129      26.3535
WFIRST/W149_Aeff_norm_new.dat                              W149      27.498 
WFIRST/H158_Aeff_norm_new.dat                              H158      26.4095
WFIRST/F184_Aeff_norm_new.dat                              F184      25.9582
NIRCam/F070W_nircam_plus_ote_throughput_moda_sorted.txt    F070Wa    26.2713
NIRCam/F070W_nircam_plus_ote_throughput_modb_sorted.txt    F070Wb    26.2733
NIRCam/F090W_nircam_plus_ote_throughput_moda_sorted.txt    F090Wa    26.6667
NIRCam/F090W_nircam_plus_ote_throughput_modb_sorted.txt    F090Wb    26.7177
NIRCam/F115W_nircam_plus_ote_throughput_moda_sorted.txt    F115Wa    26.8046
NIRCam/F115W_nircam_plus_ote_throughput_modb_sorted.txt    F115Wb    26.8118
NIRCam/F140M_nircam_plus_ote_throughput_moda_sorted.txt    F140Ma    26.1774
NIRCam/F140M_nircam_plus_ote_throughput_modb_sorted.txt    F140Mb    26.2063
NIRCam/F150W2_nircam_plus_ote_throughput_moda_sorted.txt   F150W2a   28.417 
NIRCam/F150W2_nircam_plus_ote_throughput_modb_sorted.txt   F150W2    28.4386
NIRCam/F150W_nircam_plus_ote_throughput_moda_sorted.txt    F150Wa    27.044 
NIRCam/F150W_nircam_plus_ote_throughput_modb_sorted.txt    F150Wb    27.0641
NIRCam/F162M_nircam_plus_ote_throughput_moda_sorted.txt    F162Ma    26.2334
NIRCam/F162M_nircam_plus_ote_throughput_modb_sorted.txt    F162Mb    26.2584
NIRCam/F164N_nircam_plus_ote_throughput_moda_sorted.txt    F164Na    23.8848
NIRCam/F164N_nircam_plus_ote_throughput_modb_sorted.txt    F164Nb    23.9123
NIRCam/F182M_nircam_plus_ote_throughput_moda_sorted.txt    F182Ma    26.5696
NIRCam/F182M_nircam_plus_ote_throughput_modb_sorted.txt    F182Mb    26.5922
NIRCam/F187N_nircam_plus_ote_throughput_moda_sorted.txt    F187Na    23.9857
NIRCam/F187N_nircam_plus_ote_throughput_modb_sorted.txt    F187Nb    24.0057
NIRCam/F200W_nircam_plus_ote_throughput_moda_sorted.txt    F200Wa    27.2296
NIRCam/F200W_nircam_plus_ote_throughput_modb_sorted.txt    F200Wb    27.2452
NIRCam/F210M_nircam_plus_ote_throughput_moda_sorted.txt    F210Ma    26.2954
NIRCam/F210M_nircam_plus_ote_throughput_modb_sorted.txt    F210Mb    26.3016
NIRCam/F212N_nircam_plus_ote_throughput_moda_sorted.txt    F212Na    24.0911
