specname                                redshift  g       r       i       z
10jh/day-22-new-nohost.txt              0.1696    20.5    20.8    21.0    21.47      
10jh/day254-new-nohost.txt              0.1696    23.0    23.5    23.9    ---
11af/ps1-11af-spec1-pl-nohost.txt       0.4046    21.6    21.9    ---     ---
11af/ps1-11af-spec2-pl-nohost.txt       0.4046    21.9    22.1    ---     ---
11af/ps1-11af-spec3-pl-nohost.txt       0.4046    ---     ---     ---     ---
11af/ps1-11af-spec4-pl-nohost.txt       0.4046    ---     ---     ---     ---
wd/g191b2b.dat                          0.0       11.64   12.12   12.49   12.78
wd/gd153.dat                            0.0       ---     ---     ---     ---
wd/gd71.dat                             0.0       13.04   13.56   13.69   13.93
wd/sdssj010322.dat                      0.0       19.1    19.54   19.94   20.15
wd/sdssj022817.dat                      0.0       19.82   20.17   20.48   20.73
wd/sdssj024854.dat                      0.0       18.38   18.73   19.02   19.26
wd/sdssj072752.dat                      0.0       18.02   18.45   18.8    19.08
wd/sdssj081508.dat                      0.0       19.76   20.15   20.54   20.8
wd/sdssj102430.dat                      0.0       18.9    19.27   19.58   19.81
wd/sdssj111059.dat                      0.0       17.9    18.29   18.61   18.9
wd/sdssj111127.dat                      0.0       18.43   18.9    19.3    19.56
wd/sdssj120650.dat                      0.0       18.7    19.05   19.37   19.65
wd/sdssj121405.dat                      0.0       17.8    18.23   18.58   18.88
wd/sdssj130234.dat                      0.0       17.06   17.5    17.85   18.12
wd/sdssj131445.dat                      0.0       19.09   19.57   19.92   20.19
wd/sdssj151421.dat                      0.0       15.73   16.11   16.43   16.71
wd/sdssj155745.dat                      0.0       17.49   17.98   18.35   18.64
wd/sdssj163800.dat                      0.0       18.87   19.28   19.63   19.87
wd/sdssj181424.dat                      0.0       16.59   17.0    17.36   17.63
wd/sdssj210150.dat                      0.0       18.67   19.07   19.38   19.66
wd/sdssj232941.dat                      0.0       18.15   18.47   18.76   18.95
wd/sdssj235144.dat                      0.0       18.11   18.45   18.77   18.98
18agk/AT2018agk.flm                     0.0     17.71   ---     17.74   ---
