wave,flux,flux_err
1350.0,1.1017738452798899e-11,5.422195784956857e-14
1351.0,1.0992145475137003e-11,5.812162787091361e-14
1352.0,1.0963353747298128e-11,5.4991908571794655e-14
1353.0,1.0936055297901975e-11,5.835269876011402e-14
1354.0,1.0908988577106701e-11,5.6130636825246694e-14
1355.0,1.0877816043905159e-11,5.6293172848169774e-14
1356.0,1.0854848145153215e-11,5.641365473327698e-14
1357.0,1.0823841315342553e-11,5.70840464147257e-14
1358.0,1.0800656540006628e-11,5.740959054465118e-14
1359.0,1.0771696965821893e-11,5.439525461330635e-14
1360.0,1.0745858782820908e-11,5.851131600137359e-14
1361.0,1.0717542263387441e-11,5.5342545542067895e-14
1362.0,1.0690123813418326e-11,5.253569520771618e-14
1363.0,1.0663350812983844e-11,5.618678292848703e-14
1364.0,1.063679408451451e-11,5.423497327424793e-14
1365.0,1.0611319662858515e-11,5.357050874715925e-14
1366.0,1.0583622506565269e-11,5.577958616293526e-14
1367.0,1.0557640681028757e-11,5.3786464267768626e-14
1368.0,1.0532786263038587e-11,5.312947735310342e-14
1369.0,1.0503952464291273e-11,5.4130310862808846e-14
1370.0,1.0480472800019142e-11,5.4977276408274704e-14
1371.0,1.0452056136955696e-11,5.238584786644787e-14
1372.0,1.0428730902521952e-11,5.244217590223019e-14
1373.0,1.0398057468186969e-11,5.268464358443836e-14
1374.0,1.0374753994536183e-11,5.310209769218292e-14
1375.0,1.0350978187210495e-11,5.24115215062571e-14
1376.0,1.0323335882796239e-11,5.059971974644073e-14
1377.0,1.0297585880277917e-11,5.427341292698081e-14
1378.0,1.0272771818336482e-11,5.3394312218844215e-14
1379.0,1.0246388019978119e-11,5.1134712871247004e-14
1380.0,1.022336998332128e-11,5.172950445245578e-14
1381.0,1.01954690878161e-11,5.239544022851918e-14
1382.0,1.0169062347755107e-11,5.294235653719567e-14
1383.0,1.0146596816603355e-11,5.2769775291225486e-14
1384.0,1.0119725749728432e-11,4.99831904021142e-14
1385.0,1.0096567663070112e-11,4.98589168400442e-14
1386.0,1.0071770288019604e-11,5.4383496579267416e-14
1387.0,1.004429234213887e-11,5.0956526356720395e-14
1388.0,1.0021795715095866e-11,5.134288579161969e-14
1389.0,9.997417680344298e-12,4.998502881992035e-14
1390.0,9.972366679626797e-12,4.8860214642581297e-14
1391.0,9.948384305823348e-12,5.0204372194348246e-14
1392.0,9.920296716890223e-12,4.9899117235626204e-14
1393.0,9.897468103866242e-12,4.934643733355488e-14
1394.0,9.874962264697105e-12,4.9815407472375195e-14
1395.0,9.850829504061978e-12,4.848993742113335e-14
1396.0,9.825521515483528e-12,4.729362217178703e-14
1397.0,9.802150740747336e-12,4.8477281656897176e-14
1398.0,9.778301748496717e-12,5.0855012455093616e-14
1399.0,9.754147738661503e-12,5.047056953726814e-14
1400.0,9.72889246097004e-12,4.832530359746436e-14
1401.0,9.706563523549058e-12,4.882923551803224e-14
1402.0,9.683976758736802e-12,4.860377526234481e-14
1403.0,9.660348884622001e-12,4.792985769400335e-14
1404.0,9.634935656872615e-12,4.621293985711477e-14
1405.0,9.611702265959497e-12,4.727287117843854e-14
1406.0,9.589844370883614e-12,4.687416520521665e-14
1407.0,9.565659354537978e-12,4.7021869693776063e-14
1408.0,9.539669392565506e-12,4.755290654142677e-14
1409.0,9.515869054738585e-12,4.833579693336859e-14
1410.0,9.494525331172407e-12,4.782102638650605e-14
1411.0,9.471551459256047e-12,4.8636676323500555e-14
1412.0,9.449878970126354e-12,4.792249697892741e-14
1413.0,9.425661621628639e-12,4.8751910504769504e-14
1414.0,9.401980498603473e-12,4.591059978263062e-14
1415.0,9.377785956704317e-12,4.648289319266241e-14
1416.0,9.356651185265249e-12,4.579014681887682e-14
1417.0,9.334465780769556e-12,4.733712729522857e-14
1418.0,9.312446537975692e-12,4.723023763708321e-14
1419.0,9.288802070207501e-12,4.614981169204689e-14
1420.0,9.26474859583168e-12,4.481545248211026e-14
1421.0,9.243430033253822e-12,4.492003069549247e-14
1422.0,9.222078560340802e-12,4.506254888932635e-14
1423.0,9.200755983823022e-12,4.5589497897330757e-14
1424.0,9.179176944448249e-12,4.583710292084238e-14
1425.0,9.15739554115141e-12,4.5786848005803996e-14
1426.0,9.133650170305884e-12,4.4628804759431934e-14
1427.0,9.109753332212818e-12,4.3336309113443155e-14
1428.0,9.088413268451585e-12,4.3390460705331615e-14
1429.0,9.067210133190327e-12,4.344089856050995e-14
1430.0,9.045970750456193e-12,4.3790837136065856e-14
1431.0,9.024773226685146e-12,4.4109854084879346e-14
1432.0,9.003507444518213e-12,4.450749085848007e-14
1433.0,8.982533216602624e-12,4.41578507684309e-14
1434.0,8.961278334602208e-12,4.411347453683667e-14
1435.0,8.940095431855527e-12,4.446742900273062e-14
1436.0,8.917890219955846e-12,4.3635752084163095e-14
1437.0,8.8972615774839e-12,4.4674959874562095e-14
1438.0,8.874851406048314e-12,4.318585937410017e-14
1439.0,8.855232152513197e-12,4.39194697027923e-14
1440.0,8.831809158632786e-12,4.254577362107922e-14
1441.0,8.812591227735954e-12,4.38423364817269e-14
1442.0,8.789066175176017e-12,4.18644801098522e-14
1443.0,8.770570929959079e-12,4.326399193933757e-14
1444.0,8.746326162158336e-12,4.120882205917575e-14
