wave,flux,flux_err
1350.0,2.0182092993011404e-12,9.709707790222848e-15
1351.0,2.0133930727029173e-12,9.67093711649032e-15
1352.0,2.0085771717033447e-12,9.63248338247283e-15
1353.0,2.0040690405867147e-12,9.55252741367574e-15
1354.0,1.9992534895787093e-12,9.523840856625404e-15
1355.0,1.9944451233962392e-12,9.499043986750061e-15
1356.0,1.9897979397867803e-12,9.40736380040677e-15
1357.0,1.9851169513621918e-12,9.378283314978613e-15
1358.0,1.980473356497556e-12,9.307448601621578e-15
1359.0,1.9757455029376945e-12,9.296853208981744e-15
1360.0,1.971154031921709e-12,9.217645378384538e-15
1361.0,1.9666400675087024e-12,9.158603330538257e-15
1362.0,1.9618254228835103e-12,9.133890744638224e-15
1363.0,1.957313630009494e-12,9.094674030880162e-15
1364.0,1.9526757464020116e-12,9.01576861869214e-15
1365.0,1.94816730154361e-12,8.987076804527611e-15
1366.0,1.943655710315522e-12,8.926299610514855e-15
1367.0,1.938972447616089e-12,8.915121679435109e-15
1368.0,1.9343334933354077e-12,8.86768069167127e-15
1369.0,1.929827031158567e-12,8.806013640650798e-15
1370.0,1.9253179937847545e-12,8.766948058614134e-15
1371.0,1.9209816285297363e-12,8.693466808689399e-15
1372.0,1.9164774289781067e-12,8.634645699427962e-15
1373.0,1.911966300419617e-12,8.602065241453818e-15
1374.0,1.907455801446707e-12,8.567878332606977e-15
1375.0,1.9029551579677565e-12,8.524262424733824e-15
1376.0,1.8986703846373685e-12,8.455967099472722e-15
1377.0,1.89424190472259e-12,8.410010172218396e-15
1378.0,1.889734000257036e-12,8.424468737427446e-15
1379.0,1.8853984561720295e-12,8.318584866372173e-15
1380.0,1.8809962532574243e-12,8.317208223262515e-15
1381.0,1.8766889624407976e-12,8.261884938658996e-15
1382.0,1.87217967071771e-12,8.223693696724155e-15
1383.0,1.8680260840739587e-12,8.156758687589656e-15
1384.0,1.8636249338658596e-12,8.128676002859667e-15
1385.0,1.859223947405637e-12,8.100843756768891e-15
1386.0,1.8548253950255493e-12,8.072518907551335e-15
1387.0,1.8505866234846053e-12,8.01104913947792e-15
1388.0,1.8463155539111987e-12,7.988271117148597e-15
1389.0,1.842082907493695e-12,7.93125151198614e-15
1390.0,1.837687523963978e-12,7.890173070165161e-15
1391.0,1.8335874288383485e-12,7.864086004542754e-15
1392.0,1.8292024162662944e-12,7.830536712592714e-15
1393.0,1.8250896475003014e-12,7.77433760242764e-15
1394.0,1.8208620180439982e-12,7.699420867063538e-15
1395.0,1.8166975240788214e-12,7.690200513823487e-15
1396.0,1.812375996963335e-12,7.675573468814054e-15
1397.0,1.8082604182607235e-12,7.611163031280076e-15
1398.0,1.8041664112574953e-12,7.550623220320968e-15
1399.0,1.8000241582834297e-12,7.516805871514733e-15
1400.0,1.7958420647490057e-12,7.47555210745632e-15
1401.0,1.7916896462988357e-12,7.45644469235683e-15
1402.0,1.787504527362961e-12,7.449381721564983e-15
1403.0,1.7835051528142524e-12,7.362515277930914e-15
1404.0,1.7793192104561079e-12,7.350721931511094e-15
1405.0,1.775312396635293e-12,7.306443811519168e-15
1406.0,1.7712661650826624e-12,7.26449956436091e-15
1407.0,1.7671782692010834e-12,7.239688371128373e-15
1408.0,1.76308152558639e-12,7.22173993959989e-15
1409.0,1.7589888547606612e-12,7.197268548380584e-15
1410.0,1.7550616298915834e-12,7.136493590888785e-15
1411.0,1.75096618897391e-12,7.100886589648302e-15
1412.0,1.7469518666768536e-12,7.050059191874264e-15
1413.0,1.7430137129597117e-12,7.029784880459303e-15
1414.0,1.7389934146861503e-12,7.0055868246013705e-15
1415.0,1.7350328675682424e-12,6.9571287808613286e-15
1416.0,1.731118970422937e-12,6.923516062130426e-15
1417.0,1.7271259816763822e-12,6.947658871981516e-15
1418.0,1.7231580185224504e-12,7.0852154537631564e-15
1419.0,1.7193099150074545e-12,6.827896776742572e-15
1420.0,1.7153203267192729e-12,7.007221879418759e-15
1421.0,1.71145333164338e-12,7.028452580286056e-15
1422.0,1.7075898584166622e-12,7.074146669087176e-15
1423.0,1.7036954581774355e-12,7.124204206357723e-15
1424.0,1.6997781475925005e-12,7.299898462064533e-15
1425.0,1.6959936178252828e-12,7.188283330735809e-15
1426.0,1.6920756539244287e-12,7.270167461347395e-15
1427.0,1.6881662902773144e-12,7.233750030524824e-15
1428.0,1.6844816703315191e-12,7.237832302185514e-15
1429.0,1.6805969369396281e-12,7.23319360735855e-15
1430.0,1.6768031899796616e-12,7.182284303930624e-15
1431.0,1.6730108270109545e-12,7.180657581594571e-15
1432.0,1.6691506446943832e-12,7.158466440986745e-15
1433.0,1.6655303121300726e-12,7.129165752856423e-15
1434.0,1.661751391710706e-12,7.128963978068748e-15
1435.0,1.657987474677955e-12,7.107156485040196e-15
1436.0,1.6542230426719439e-12,7.0858655728622936e-15
1437.0,1.6505697056171333e-12,7.0712279146661634e-15
1438.0,1.6467796251503566e-12,7.053561085584646e-15
1439.0,1.642915211396773e-12,7.017752364452554e-15
1440.0,1.639366213832291e-12,7.012592315122963e-15
1441.0,1.63569107497815e-12,6.9727106391971884e-15
1442.0,1.6319050015413836e-12,6.961459132967292e-15
1443.0,1.628296513778476e-12,6.9418184231118645e-15
1444.0,1.624679798914172e-12,6.94050234488925e-15
1445.0,1.62097507680143e-12,6.922932251353199e-15
1446.0,1.6173054239507633e-12,6.911522394927938e-15
1447.0,1.6137494460826398e-12,6.88216855548402e-15
1448.0,1.610190894377322e-12,6.851127509323032e-15
1449.0,1.6064549560396967e-12,6.822641173203617e-15
1450.0,1.602955649543907e-12,6.8102839766769565e-15
1451.0,1.5992911321553187e-12,6.816939580271306e-15
1452.0,1.5957677855565724e-12,6.797599492910693e-15
1453.0,1.5922138679228403e-12,6.770546418823807e-15
1454.0,1.5886980294456385e-12,6.7362687110140006e-15
1455.0,1.5851192382059423e-12,6.728501686268593e-15
1456.0,1.5815094887223343e-12,6.706890278397568e-15
1457.0,1.5779977789616435e-12,6.700174211291617e-15
1458.0,1.5744526579808847e-12,6.6787661856329096e-15
1459.0,1.5709287995621417e-12,6.64466415809338e-15
1460.0,1.567432781960753e-12,6.63300168994915e-15
1461.0,1.5639550771875756e-12,6.626103306148217e-15
1462.0,1.5604831758910161e-12,6.5957045461242596e-15
1463.0,1.557006725289078e-12,6.588779679960919e-15
1464.0,1.553529399926099e-12,6.583455586350308e-15
1465.0,1.5500670480998231e-12,6.555181576448239e-15
1466.0,1.5467049602521348e-12,6.530793400328008e-15
1467.0,1.5432748472995014e-12,6.505122707263646e-15
1468.0,1.539807655143037e-12,6.506850270408469e-15
1469.0,1.5364187808355681e-12,6.489128604193522e-15
1470.0,1.53304683971481e-12,6.4942642124028324e-15
1471.0,1.5296812395772344e-12,6.449898728003348e-15
1472.0,1.5262043530917053e-12,6.44026590948247e-15
1473.0,1.5228334199466111e-12,6.422039015362401e-15
1474.0,1.5195657946235459e-12,6.416029553085109e-15
1475.0,1.516087922950051e-12,6.391712081553914e-15
1476.0,1.5128273962442735e-12,6.367527669531871e-15
1477.0,1.5094433408636647e-12,6.360868189350639e-15
1478.0,1.5061423625862999e-12,6.319984820333708e-15
