wave,flux,flux_err
1350.0,6.303547366823999e-15,1.1623536242327755e-16
1351.0,6.2920118822372465e-15,1.1678385065526693e-16
1352.0,6.2804488100290734e-15,1.1704346581279804e-16
1353.0,6.269255797446663e-15,1.1716970427796953e-16
1354.0,6.2579100223685225e-15,1.1737489342556676e-16
1355.0,6.2470758997853625e-15,1.187866468916492e-16
1356.0,6.23542551251076e-15,1.184885405376628e-16
1357.0,6.224078350033284e-15,1.1838950251132003e-16
1358.0,6.212921590058633e-15,1.1916090762688774e-16
1359.0,6.201748423821087e-15,1.196926059997467e-16
1360.0,6.1900194917949564e-15,1.2002577957423217e-16
1361.0,6.178954501903158e-15,1.199079825469372e-16
1362.0,6.167867174375875e-15,1.2056021775188979e-16
1363.0,6.156513272368173e-15,1.2055971853082644e-16
1364.0,6.145262860527692e-15,1.2185777261908802e-16
1365.0,6.134422940934672e-15,1.2295650584369322e-16
1366.0,6.123273723575741e-15,1.2218927297521565e-16
1367.0,6.112072820822922e-15,1.2342666252316958e-16
1368.0,6.100611094698912e-15,1.2288344958547012e-16
1369.0,6.089392706049233e-15,1.231814466566514e-16
1370.0,6.0783041370319055e-15,1.245125683541496e-16
1371.0,6.067394210415461e-15,1.2446479460145421e-16
1372.0,6.056406874443698e-15,1.253004421743422e-16
1373.0,6.0451718599650346e-15,1.2468378454817646e-16
1374.0,6.033856601396624e-15,1.254733171347743e-16
1375.0,6.0226782029909415e-15,1.2555397587253567e-16
1376.0,6.0122963062418495e-15,1.268719020357962e-16
1377.0,6.000910699929266e-15,1.2653875342564784e-16
1378.0,5.990267836998646e-15,1.2749379952639834e-16
1379.0,5.978833170778142e-15,1.2743642578936132e-16
1380.0,5.968131358204649e-15,1.286148251998069e-16
1381.0,5.957538872963629e-15,1.2842461709090963e-16
1382.0,5.946292472325529e-15,1.2783962426538412e-16
1383.0,5.935260365270957e-15,1.2716588580431593e-16
1384.0,5.924398732730218e-15,1.2649086990519223e-16
1385.0,5.913465219237229e-15,1.2592218869785808e-16
1386.0,5.90295814562816e-15,1.2560405335346964e-16
1387.0,5.891980494697676e-15,1.2503233083313465e-16
1388.0,5.881017928219146e-15,1.244619430923451e-16
1389.0,5.870001857990712e-15,1.237077604162394e-16
1390.0,5.859414214725522e-15,1.2358404982592057e-16
1391.0,5.848758048769004e-15,1.2274266944482544e-16
1392.0,5.837958556752785e-15,1.2212335973781795e-16
1393.0,5.827030445714701e-15,1.218886283850966e-16
1394.0,5.816260929040777e-15,1.2126007626256028e-16
1395.0,5.80551188061947e-15,1.204263999502008e-16
1396.0,5.7950464859663365e-15,1.2008708029602602e-16
1397.0,5.783883282252373e-15,1.1945475408407705e-16
1398.0,5.773180474983812e-15,1.1920893707246282e-16
1399.0,5.7626277177321944e-15,1.1867937134449159e-16
1400.0,5.751917349769876e-15,1.1801823816398976e-16
1401.0,5.741430268438349e-15,1.176431692752234e-16
1402.0,5.73054379918226e-15,1.168704180989074e-16
1403.0,5.719997975908853e-15,1.1660500480345055e-16
1404.0,5.709458306299031e-15,1.1631430175723746e-16
1405.0,5.698742101651991e-15,1.1539574760905952e-16
1406.0,5.6884943035156575e-15,1.1501769708205658e-16
1407.0,5.678083115320269e-15,1.1457406698444808e-16
1408.0,5.667471023916425e-15,1.1411231114968425e-16
1409.0,5.656942110693697e-15,1.1355302183400244e-16
1410.0,5.646620383233112e-15,1.1286933854897082e-16
1411.0,5.635826354499203e-15,1.1241039839690336e-16
1412.0,5.6251419463963e-15,1.1207043234349166e-16
1413.0,5.615167374818467e-15,1.1151751982819397e-16
1414.0,5.604473658136897e-15,1.1102386682460221e-16
1415.0,5.5944375095244225e-15,1.1052267061456741e-16
1416.0,5.583683841204795e-15,1.101874974091322e-16
1417.0,5.573189796343335e-15,1.0981330002239044e-16
1418.0,5.563345777679026e-15,1.0924377652783812e-16
1419.0,5.552900130439349e-15,1.0888740994895124e-16
1420.0,5.542322932908429e-15,1.0856867028820121e-16
1421.0,5.532249390015281e-15,1.0784481272808972e-16
1422.0,5.521494012279962e-15,1.073298622859178e-16
1423.0,5.511575751839484e-15,1.06851843662983e-16
1424.0,5.501017914336834e-15,1.0639793157898335e-16
1425.0,5.491096120048748e-15,1.0581011851726664e-16
